"timestamp","dataset","features","classes","samples_requested","clear_samples","clear_hard_correct","clear_hard_accuracy_pct","clear_soft_global_correct","clear_soft_global_accuracy_pct","clear_soft_adaptive_correct","clear_soft_adaptive_accuracy_pct","he_soft_global_correct","he_soft_global_accuracy_pct","he_soft_global_avg_ms","he_soft_adaptive_correct","he_soft_adaptive_accuracy_pct","he_soft_adaptive_avg_ms","he_samples","he_mult_depth","clear_predictions_file","he_predictions_file","log_file"
"2026-06-05T14:37:50","iris","4","3","20","20","20/20","100","20/20","100","19/20","95","20/20","100","410,18","19/20","95","286,06","20","10","results/logs/run_iris_20260605_143750_clear_predictions.csv","results/logs/run_iris_20260605_143750_he_predictions.csv","C:\Users\madicke-diadji.mbodj\POC_DT\My_Poc_all\results\logs\run_iris_20260605_143750.log"
"2026-06-05T14:38:58","cancer","30","2","32","32","32/32","100","31/32","96,88","32/32","100","31/32","96,88","111,72","31/32","96,88","151,06","32","11","results/logs/run_cancer_20260605_143858_clear_predictions.csv","results/logs/run_cancer_20260605_143858_he_predictions.csv","C:\Users\madicke-diadji.mbodj\POC_DT\My_Poc_all\results\logs\run_cancer_20260605_143858.log"
"2026-06-05T14:40:25","wine","13","3","26","26","26/26","100","26/26","100","26/26","100","25/26","96,15","150,68","26/26","100","224,48","26","12","results/logs/run_wine_20260605_144025_clear_predictions.csv","results/logs/run_wine_20260605_144025_he_predictions.csv","C:\Users\madicke-diadji.mbodj\POC_DT\My_Poc_all\results\logs\run_wine_20260605_144025.log"
"2026-06-05T14:41:52","breast","30","2","32","32","29/32","90,62","13/32","40,62","29/32","90,62","14/32","43,75","315,83","29/32","90,62","320,27","32","11","results/logs/run_breast_20260605_144152_clear_predictions.csv","results/logs/run_breast_20260605_144152_he_predictions.csv","C:\Users\madicke-diadji.mbodj\POC_DT\My_Poc_all\results\logs\run_breast_20260605_144152.log"
"2026-06-05T14:44:58","heart","13","2","26","26","22/26","84,62","15/26","57,69","22/26","84,62","8/26","30,77","117,34","22/26","84,62","90,5","26","11","results/logs/run_heart_20260605_144458_clear_predictions.csv","results/logs/run_heart_20260605_144458_he_predictions.csv","C:\Users\madicke-diadji.mbodj\POC_DT\My_Poc_all\results\logs\run_heart_20260605_144458.log"
"2026-06-05T14:45:40","steel","33","2","32","32","32/32","100","20/32","62,5","32/32","100","20/32","62,5","88,27","32/32","100","95,44","32","10","results/logs/run_steel_20260605_144540_clear_predictions.csv","results/logs/run_steel_20260605_144540_he_predictions.csv","C:\Users\madicke-diadji.mbodj\POC_DT\My_Poc_all\results\logs\run_steel_20260605_144540.log"
"2026-06-06T14:34:25","breast","30","2","32","32",,,,,,,"14/32","43,75","344,84",,,,"32","11","results/logs/run_breast_20260606_143425_clear_predictions.csv","results/logs/run_breast_20260606_143425_he_predictions.csv","C:\Users\madicke-diadji.mbodj\POC_DT\My_Poc_all\results\logs\run_breast_20260606_143425.log"
"2026-06-06T14:47:00","wine","13","3","26","26",,,,,,,"25/26","96,15","153,37",,,,"26","12","results/logs/run_wine_20260606_144700_clear_predictions.csv","results/logs/run_wine_20260606_144700_he_predictions.csv","C:\Users\madicke-diadji.mbodj\POC_DT\My_Poc_all\results\logs\run_wine_20260606_144700.log"
"2026-06-06T14:49:51","breast","30","2","32","32","29/32","90,62","13/32","40,62","29/32","90,62","14/32","43,75","384,56","29/32","90,62","354,52","32","11","results/logs/run_breast_20260606_144951_clear_predictions.csv","results/logs/run_breast_20260606_144951_he_predictions.csv","C:\Users\madicke-diadji.mbodj\POC_DT\My_Poc_all\results\logs\run_breast_20260606_144951.log"
"2026-06-06T15:38:38","iris","4","3","20","20","20/20","100","20/20","100","19/20","95","20/20","100","356,61","19/20","95","284,05","20","10","results/logs/run_iris_20260606_153838_clear_predictions.csv","results/logs/run_iris_20260606_153838_he_predictions.csv","C:\Users\madicke-diadji.mbodj\POC_DT\My_Poc_all\results\logs\run_iris_20260606_153838.log"
